surgery,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux_ph,rectal_exam_feces,abdomen,total_protein,outcome,surgical_lesion,rectal_temp_bin,pulse_bin,extremeties,mucous,packedCell,proteinLevel,death
2.0,2.0,5.0,4.0,4.0,,,3.0,5.0,8.4,2.0,2,1,1,1,,1,1,1
1.0,1.0,3.0,4.0,2.0,,,4.0,2.0,85.0,3.0,2,1,1,,1,1,1,1
2.0,1.0,3.0,3.0,1.0,,,1.0,1.0,6.7,1.0,2,0,0,0,1,1,0,0
2.0,2.0,,,,,,,,7.4,2.0,2,0,1,,1,1,0,1
2.0,1.0,2.0,3.0,2.0,2.0,,3.0,3.0,,1.0,2,,,0,1,,,0
1.0,1.0,3.0,3.0,3.0,1.0,,3.0,5.0,7.0,1.0,1,0,1,0,0,1,0,0
1.0,1.0,,4.0,2.0,2.0,,3.0,4.0,8.3,2.0,1,,1,1,,1,1,1
2.0,1.0,4.0,4.0,4.0,2.0,,3.0,5.0,6.2,3.0,1,,1,1,1,1,0,1
1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,6.0,1.0,1,0,1,1,1,1,0,0
2.0,1.0,2.0,1.0,2.0,1.0,,4.0,4.0,7.8,1.0,1,1,1,0,0,1,1,0
1.0,1.0,3.0,3.0,3.0,3.0,,4.0,5.0,7.0,1.0,2,0,0,0,0,,0,0
1.0,1.0,3.0,4.0,1.0,2.0,,4.0,4.0,81.0,1.0,1,0,1,1,0,1,1,0
1.0,1.0,5.0,3.0,3.0,2.0,4.5,4.0,,6.8,2.0,1,0,1,1,1,1,0,1
2.0,,,,,,,,,,1.0,2,0,1,,,,,0
1.0,1.0,2.0,3.0,1.0,1.0,,2.0,5.0,7.0,1.0,1,0,1,0,0,1,0,0
2.0,,,3.0,3.0,,,,,8.7,1.0,2,1,1,1,1,1,1,0
1.0,2.0,5.0,4.0,4.0,3.0,,4.0,4.0,6.1,1.0,1,1,1,0,1,1,0,0
2.0,1.0,1.0,3.0,1.0,2.0,5.5,4.0,3.0,6.8,1.0,2,1,1,0,0,1,0,0
1.0,,2.0,3.0,1.0,,,1.0,,7.2,1.0,1,1,0,0,1,1,0,0
1.0,1.0,,4.0,3.0,3.0,2.0,,,65.0,1.0,1,0,1,1,1,1,1,0
2.0,1.0,,,,,,,,,1.0,2,0,1,,,,,0
1.0,2.0,3.0,3.0,3.0,2.0,,3.0,5.0,7.0,1.0,1,0,1,1,1,1,0,0
1.0,1.0,,3.0,2.0,1.0,,1.0,3.0,5.5,1.0,2,0,1,1,0,1,0,0
1.0,,,,,,,,,,2.0,2,,,,,,,1
2.0,1.0,1.0,1.0,1.0,1.0,,,,76.0,1.0,2,0,1,0,0,1,1,0
2.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,7.5,2.0,1,0,1,1,1,1,0,1
2.0,2.0,2.0,4.0,2.0,,6.0,3.0,3.0,8.2,3.0,1,0,1,1,1,1,1,1
1.0,1.0,3.0,3.0,3.0,2.0,,4.0,5.0,6.6,1.0,1,0,1,0,0,1,0,0
1.0,1.0,3.0,1.0,,,,4.0,4.0,8.6,1.0,1,0,1,0,0,1,1,0
1.0,2.0,5.0,4.0,4.0,3.0,,4.0,4.0,6.6,1.0,1,,1,1,1,1,0,0
2.0,2.0,4.0,4.0,3.0,,,,2.0,8.4,3.0,1,,1,1,1,1,1,1
2.0,2.0,,,1.0,1.0,,,5.0,6.0,3.0,2,0,1,,1,1,0,1
1.0,1.0,5.0,3.0,1.0,,,1.0,1.0,80.0,1.0,1,0,1,,,1,1,0
2.0,1.0,3.0,3.0,2.0,1.0,,1.0,3.0,6.6,1.0,2,1,1,0,0,1,0,0
1.0,2.0,5.0,3.0,3.0,1.0,,4.0,5.0,6.5,2.0,1,,1,1,1,1,0,1
2.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,7.0,1.0,2,0,1,1,1,1,0,0
1.0,1.0,4.0,4.0,4.0,1.0,,,5.0,67.0,3.0,1,,1,1,1,1,1,1
1.0,2.0,4.0,4.0,,2.0,,,5.0,69.0,3.0,1,0,1,1,1,1,1,1
2.0,2.0,5.0,4.0,4.0,1.0,,4.0,5.0,6.5,2.0,1,,1,1,1,1,0,1
1.0,2.0,5.0,4.0,4.0,2.0,,4.0,5.0,7.5,1.0,1,0,1,1,1,1,0,0
2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,6.5,1.0,2,0,1,0,0,1,0,0
1.0,2.0,2.0,3.0,3.0,2.0,7.0,3.0,1.0,6.5,2.0,1,1,1,1,1,1,0,1
2.0,2.0,4.0,1.0,2.0,1.0,,2.0,1.0,5.5,2.0,2,0,1,1,1,1,0,1
2.0,1.0,1.0,3.0,2.0,1.0,,,2.0,9.1,1.0,2,1,1,0,0,1,1,0
1.0,2.0,3.0,3.0,2.0,,,4.0,5.0,,2.0,1,0,1,0,1,,,1
2.0,1.0,1.0,3.0,1.0,,,2.0,2.0,7.7,1.0,2,,,0,1,1,1,0
2.0,1.0,,,,,,,,6.4,1.0,2,1,0,,,1,0,0
2.0,2.0,2.0,3.0,3.0,2.0,7.0,1.0,5.0,8.1,3.0,1,1,1,1,0,1,1,1
1.0,,,,,,,,,6.7,1.0,1,,,,,0,0,0
1.0,1.0,5.0,3.0,3.0,2.0,,,,7.7,2.0,1,,1,0,0,1,1,1
1.0,,5.0,4.0,3.0,2.0,,4.0,4.0,5.9,2.0,1,,,1,1,1,0,1
2.0,2.0,5.0,4.0,4.0,1.0,,4.0,5.0,,2.0,1,,1,1,1,1,,1
2.0,1.0,2.0,1.0,,1.0,,4.0,5.0,6.7,1.0,2,0,1,0,1,1,0,0
2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,7.7,1.0,2,1,1,0,0,1,1,0
1.0,1.0,3.0,,,2.0,,4.0,,8.0,2.0,1,0,1,0,0,1,1,1
2.0,2.0,2.0,4.0,4.0,1.0,,,,82.0,3.0,2,0,1,1,1,1,1,1
1.0,2.0,3.0,3.0,2.0,1.0,7.0,4.0,5.0,7.5,1.0,1,1,1,1,1,1,0,0
1.0,1.0,3.0,3.0,2.0,1.0,,3.0,4.0,72.0,1.0,1,,1,1,1,0,1,0
2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,74.0,1.0,1,0,1,0,1,1,1,0
2.0,1.0,1.0,3.0,1.0,2.0,,3.0,2.0,7.2,1.0,2,1,1,0,0,1,0,0
2.0,1.0,,,,2.0,5.5,,,7.2,1.0,2,,1,0,1,1,0,0
2.0,1.0,1.0,3.0,,1.0,,3.0,2.0,6.3,1.0,2,0,1,0,0,1,0,0
2.0,1.0,3.0,,3.0,2.0,4.5,4.0,4.0,7.6,3.0,1,0,1,1,,1,1,1
1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,5.9,1.0,2,0,1,0,0,1,0,0
1.0,,,,,,,,,,2.0,1,0,1,,,,,1
1.0,1.0,4.0,3.0,1.0,2.0,7.0,1.0,,7.5,2.0,1,0,1,0,1,1,0,1
1.0,1.0,3.0,3.0,2.0,,,3.0,,68.0,1.0,1,0,0,1,0,1,1,0
2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,77.0,1.0,2,1,1,0,0,1,1,0
1.0,3.0,5.0,3.0,3.0,3.0,,4.0,5.0,5.9,2.0,1,,,1,1,1,0,1
1.0,2.0,3.0,4.0,2.0,2.0,5.0,,4.0,8.9,1.0,1,0,1,0,1,1,1,0
1.0,1.0,4.0,3.0,2.0,,,4.0,4.0,6.4,2.0,1,0,1,1,1,1,0,1
1.0,1.0,2.0,3.0,2.0,3.0,,3.0,5.0,,1.0,1,0,0,,0,1,,0
1.0,2.0,5.0,,4.0,1.0,,,,7.8,2.0,1,0,,1,1,1,1,1
1.0,2.0,2.0,3.0,3.0,,5.5,4.0,,4.5,1.0,1,0,1,0,0,1,0,0
2.0,3.0,3.0,1.0,2.0,2.0,,,4.0,6.2,1.0,2,0,1,0,1,1,0,0
1.0,2.0,5.0,4.0,3.0,3.0,,4.0,5.0,7.7,2.0,1,,1,1,1,1,1,1
2.0,1.0,,,,,,,,7.0,3.0,1,,0,,,1,0,1
2.0,1.0,3.0,3.0,2.0,2.0,,3.0,3.0,7.5,1.0,2,1,1,0,1,1,0,0
2.0,1.0,1.0,1.0,1.0,,,,,61.0,1.0,2,0,0,0,0,1,1,0
2.0,,2.0,,,,1.0,1.0,1.0,86.0,1.0,1,0,1,,,1,1,0
2.0,2.0,2.0,3.0,3.0,2.0,7.0,1.0,5.0,8.1,2.0,1,1,1,1,0,1,1,1
2.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,6.2,1.0,2,1,1,1,0,1,0,0
2.0,1.0,5.0,3.0,3.0,1.0,,4.0,5.0,6.5,2.0,1,,,1,0,1,0,1
2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,8.6,1.0,2,0,1,1,1,1,1,0
1.0,1.0,3.0,3.0,3.0,2.0,,3.0,5.0,69.0,1.0,1,0,1,,0,1,1,0
2.0,1.0,,3.0,1.0,2.0,,3.0,2.0,8.5,1.0,1,,1,,1,1,1,0
1.0,1.0,2.0,3.0,3.0,,1.0,4.0,5.0,60.0,3.0,2,0,1,1,1,1,1,1
2.0,1.0,1.0,3.0,2.0,1.0,,1.0,5.0,60.0,1.0,2,0,0,0,1,1,1,0
2.0,2.0,2.0,4.0,3.0,1.0,,3.0,5.0,8.0,1.0,2,1,1,1,1,1,1,0
1.0,1.0,1.0,3.0,,,,1.0,1.0,66.0,1.0,2,0,0,1,0,1,1,0
1.0,2.0,5.0,4.0,,,,4.0,5.0,,3.0,1,,1,1,1,,,1
2.0,1.0,2.0,,,,,,,57.0,1.0,2,0,0,1,0,1,1,0
1.0,1.0,4.0,4.0,1.0,2.0,5.7,2.0,5.0,6.6,2.0,1,0,1,0,1,1,0,1
1.0,2.0,2.0,3.0,2.0,2.0,,4.0,5.0,7.3,1.0,1,,1,0,1,1,0,0
1.0,1.0,,,,1.0,,1.0,,6.1,1.0,1,0,1,,1,1,0,0
2.0,1.0,1.0,3.0,2.0,,,1.0,,7.0,1.0,2,0,1,0,1,1,0,0
1.0,2.0,4.0,4.0,4.0,,,4.0,5.0,64.0,3.0,1,1,1,1,0,1,1,1
1.0,2.0,2.0,3.0,2.0,2.0,,4.0,5.0,7.5,2.0,1,,1,1,1,1,0,1
1.0,1.0,1.0,3.0,2.0,,,,,58.0,1.0,1,0,0,1,,1,1,0
1.0,1.0,1.0,3.0,1.0,1.0,,,5.0,56.0,1.0,1,,0,0,0,1,1,0
1.0,,,,,,,,,,2.0,1,0,1,,,,,1
1.0,,5.0,4.0,3.0,2.0,,4.0,5.0,77.0,1.0,1,1,0,1,1,1,1,0
2.0,1.0,3.0,3.0,2.0,,,,,70.0,1.0,2,,,1,0,1,1,0
1.0,1.0,3.0,3.0,3.0,2.0,,4.0,5.0,65.0,1.0,1,0,0,0,0,1,1,0
2.0,2.0,3.0,4.0,3.0,,5.5,4.0,5.0,6.7,3.0,1,1,,1,1,,0,1
1.0,1.0,5.0,3.0,1.0,,,,,75.0,1.0,1,0,1,0,0,1,1,0
2.0,1.0,1.0,3.0,1.0,1.0,,,,70.0,1.0,2,0,1,0,0,1,1,0
1.0,1.0,2.0,3.0,2.0,1.0,,3.0,4.0,6.0,1.0,1,1,1,0,0,1,0,0
1.0,2.0,4.0,3.0,1.0,,,1.0,4.0,10.2,3.0,1,0,1,,1,1,1,1
2.0,1.0,3.0,1.0,1.0,,,1.0,,62.0,1.0,2,1,0,0,0,1,1,0
1.0,1.0,4.0,4.0,3.0,2.0,,4.0,4.0,7.5,2.0,1,0,1,0,1,1,0,1
2.0,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,5.5,3.0,1,0,1,1,1,1,0,1
1.0,1.0,3.0,3.0,2.0,2.0,,4.0,4.0,7.6,1.0,1,0,0,1,0,1,1,0
1.0,1.0,5.0,4.0,2.0,,,,,6.5,1.0,1,1,,1,1,1,0,0
1.0,1.0,4.0,4.0,1.0,2.0,,1.0,,7.9,1.0,1,0,1,1,,1,1,0
1.0,1.0,2.0,3.0,3.0,,,,,61.0,3.0,2,0,1,,1,1,1,1
1.0,1.0,,,1.0,2.0,,,,7.6,1.0,1,1,1,,0,1,1,0
1.0,,,,,,,,,,2.0,1,0,0,,,,,1
2.0,1.0,3.0,3.0,2.0,1.0,1.5,,,6.0,2.0,1,0,1,1,0,1,0,1
,1.0,4.0,3.0,1.0,2.0,,3.0,5.0,73.0,,1,0,1,1,1,1,1,
2.0,1.0,2.0,3.0,1.0,,,,3.0,5.7,1.0,1,0,0,0,0,1,0,0
1.0,2.0,5.0,4.0,,2.0,,2.0,,6.3,2.0,1,,1,1,1,1,0,1
1.0,2.0,5.0,3.0,3.0,3.0,,4.0,5.0,5.9,2.0,1,,,1,1,1,0,1
1.0,1.0,1.0,2.0,4.0,2.0,,4.0,5.0,,1.0,1,0,1,0,0,,,0
2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,71.0,1.0,2,0,1,0,1,1,1,0
2.0,1.0,3.0,3.0,,1.0,,,,7.0,1.0,2,0,1,0,,1,0,0
1.0,1.0,2.0,2.0,1.0,1.0,,4.0,5.0,7.3,1.0,2,0,0,1,0,1,0,0
2.0,1.0,,,,,,,,6.8,2.0,2,0,0,,1,1,0,1
1.0,2.0,5.0,4.0,4.0,,,4.0,5.0,4.5,2.0,1,,1,1,1,1,0,1
1.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,5.9,1.0,2,0,1,0,0,1,0,0
1.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,81.0,3.0,2,0,1,1,1,1,1,1
2.0,1.0,2.0,3.0,3.0,2.0,,3.0,,80.0,1.0,1,,1,1,0,1,1,0
1.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,71.0,1.0,1,0,1,0,1,1,1,0
2.0,1.0,3.0,4.0,3.0,1.0,6.5,1.0,4.0,6.5,2.0,1,0,0,0,1,1,0,1
