surgery,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux_ph,rectal_exam_feces,abdomen,total_protein,outcome,surgical_lesion,rectal_temp_bin,pulse_bin,extremeties,mucous,packedCell,proteinLevel,death
1.0,2.0,2.0,4.0,2.0,2.0,6.2,4.0,4.0,8.0,1.0,1,0,1,,1,1,1,0
2.0,,1.0,1.0,,1.0,,1.0,,63.0,1.0,2,1,1,,,1,1,0
2.0,1.0,2.0,3.0,2.0,,,,2.0,64.0,1.0,2,1,0,1,0,1,1,0
1.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,,2.0,1,1,,1,1,1,,1
1.0,2.0,,4.0,4.0,2.0,2.0,,,64.0,1.0,1,,1,1,1,1,1,0
2.0,1.0,1.0,3.0,2.0,2.0,,3.0,2.0,7.3,1.0,2,1,1,1,0,1,0,0
2.0,1.0,3.0,3.0,4.0,2.0,,,5.0,65.0,1.0,1,1,1,0,1,1,1,0
2.0,1.0,1.0,4.0,2.0,2.0,5.0,,2.0,8.3,1.0,2,0,1,1,1,1,1,0
2.0,1.0,3.0,3.0,2.0,1.0,,1.0,3.0,6.6,1.0,2,1,1,0,0,1,0,0
1.0,2.0,,4.0,4.0,2.0,2.0,,5.0,75.0,3.0,1,0,1,0,1,1,1,1
2.0,1.0,3.0,3.0,1.0,,,,,,1.0,2,0,0,1,0,,,0
2.0,1.0,2.0,1.0,2.0,3.0,,1.0,3.0,7.5,1.0,2,,,0,0,1,0,0
1.0,,4.0,,,1.0,,,5.0,58.0,1.0,1,,,,,1,1,0
1.0,1.0,,,,,,,,8.5,2.0,1,0,0,,,1,1,1
2.0,2.0,3.0,3.0,2.0,2.0,,3.0,,56.0,1.0,2,1,1,1,,1,1,0
1.0,1.0,5.0,3.0,1.0,1.0,,3.0,,46.0,3.0,1,0,1,0,1,1,1,1
1.0,2.0,3.0,3.0,2.0,2.0,,4.0,4.0,8.0,1.0,1,1,1,0,1,1,1,0
1.0,1.0,,3.0,3.0,1.0,,4.0,,64.0,3.0,2,1,1,,1,1,1,1
1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,5.9,1.0,2,0,0,0,0,1,0,0
2.0,1.0,3.0,3.0,1.0,2.0,,,1.0,6.3,1.0,2,,0,0,0,,0,0
1.0,1.0,2.0,4.0,2.0,2.0,6.5,,4.0,8.5,1.0,1,1,1,0,1,1,1,0
1.0,2.0,5.0,,4.0,3.0,,,5.0,,3.0,1,,1,,,,,1
2.0,1.0,,1.0,1.0,,,1.0,,7.2,1.0,2,0,0,0,1,1,0,0
2.0,,3.0,3.0,3.0,,,,,5.8,2.0,1,1,1,1,1,1,0,1
1.0,1.0,2.0,4.0,3.0,1.0,2.0,,,66.0,1.0,1,1,1,1,1,1,1,0
1.0,2.0,2.0,4.0,3.0,,,4.0,4.0,8.6,2.0,1,,1,1,1,1,1,1
2.0,,4.0,,4.0,,,,,,2.0,1,,,1,1,,,1
1.0,,,,,,,,,,1.0,1,,,,,,,0
1.0,1.0,3.0,3.0,1.0,2.0,,3.0,2.0,66.0,1.0,1,0,1,0,1,1,1,0
1.0,1.0,4.0,,,,4.3,,,,2.0,1,,1,,1,,,1
1.0,2.0,5.0,4.0,4.0,1.0,,4.0,,70.0,1.0,1,,1,1,1,1,1,0
2.0,2.0,4.0,3.0,4.0,2.0,,4.0,5.0,,3.0,2,1,1,1,1,,,1
1.0,2.0,4.0,3.0,3.0,2.0,6.5,4.0,4.0,7.5,2.0,1,1,1,1,1,1,0,1
2.0,1.0,3.0,,2.0,1.0,5.3,1.0,,7.5,1.0,2,0,1,,0,1,0,0
1.0,2.0,5.0,,4.0,1.0,,,,7.8,2.0,1,0,,1,1,1,1,1
2.0,1.0,2.0,1.0,1.0,2.0,,1.0,,68.0,1.0,2,0,1,0,0,1,1,0
2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,65.0,1.0,2,0,1,0,0,1,1,0
1.0,2.0,,3.0,,,,,,,1.0,1,1,1,1,1,1,,0
1.0,1.0,,3.0,1.0,1.0,,,,6.7,1.0,1,1,1,0,0,1,0,0
1.0,1.0,3.0,3.0,3.0,3.0,,4.0,5.0,6.1,1.0,1,1,1,1,0,1,0,0
1.0,1.0,,1.0,1.0,,,,,53.0,1.0,1,1,1,0,,1,1,0
1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,6.0,1.0,1,0,1,1,0,0,0,0
1.0,1.0,3.0,3.0,1.0,1.0,,3.0,3.0,6.7,1.0,1,0,0,,1,0,0,0
1.0,1.0,3.0,3.0,3.0,1.0,,4.0,,74.0,1.0,1,0,1,0,0,1,1,0
1.0,2.0,4.0,3.0,4.0,,,,,7.6,2.0,1,,1,1,1,1,1,1
2.0,1.0,2.0,2.0,1.0,,,4.0,1.0,56.0,1.0,2,0,1,0,0,1,1,0
2.0,,,1.0,2.0,,,1.0,,64.0,1.0,2,0,0,1,0,1,1,0
2.0,2.0,2.0,2.0,1.0,2.0,,2.0,3.0,7.5,3.0,2,1,1,0,1,1,0,1
2.0,2.0,2.0,4.0,2.0,1.0,,4.0,5.0,8.5,2.0,1,1,1,1,,1,1,1
2.0,2.0,1.0,3.0,1.0,,,3.0,,66.0,1.0,2,0,1,0,0,1,1,0
2.0,1.0,2.0,1.0,2.0,,,3.0,2.0,59.0,1.0,2,1,1,1,0,1,1,0
1.0,1.0,3.0,1.0,3.0,2.0,,3.0,3.0,6.6,1.0,1,0,1,0,1,1,0,0
1.0,1.0,4.0,4.0,3.0,2.0,,3.0,5.0,7.4,2.0,1,1,1,0,1,1,0,1
1.0,,,,,1.0,,,5.0,55.0,3.0,1,0,1,,,1,1,1
2.0,1.0,2.0,3.0,1.0,2.0,,4.0,1.0,5.7,1.0,2,0,0,0,0,1,0,0
1.0,1.0,4.0,4.0,2.0,2.0,,,,6.6,1.0,1,1,,1,1,1,0,0
2.0,2.0,4.0,3.0,4.0,2.0,,4.0,5.0,,3.0,2,1,1,1,1,,,1
1.0,2.0,4.0,4.0,3.0,2.0,,3.0,5.0,65.0,1.0,1,1,1,0,1,1,1,0
1.0,,,,,,,,,8.7,2.0,1,,,,,1,1,1
1.0,2.0,,3.0,3.0,2.0,,4.0,5.0,89.0,3.0,1,0,1,1,1,1,1,1
2.0,1.0,3.0,1.0,2.0,2.0,,3.0,3.0,51.0,1.0,2,0,0,1,0,1,1,0
1.0,1.0,2.0,4.0,2.0,,,1.0,5.0,4.0,2.0,1,0,1,,0,1,0,1
1.0,1.0,2.0,4.0,4.0,1.0,,4.0,5.0,5.5,2.0,1,0,1,1,1,1,0,1
1.0,1.0,,2.0,2.0,2.0,,1.0,4.0,7.0,1.0,1,0,0,1,1,1,0,0
2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,7.0,1.0,2,1,1,0,0,1,0,0
1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,7.0,1.0,1,0,0,0,0,1,0,0
2.0,,,,,,,,,,1.0,2,,,,,,,0
1.0,2.0,,,,,,,,11.0,1.0,1,0,1,,,1,1,0
1.0,1.0,2.0,2.0,,,,,,,3.0,1,0,0,0,0,,,1
1.0,1.0,3.0,4.0,3.0,2.0,,4.0,4.0,8.1,1.0,1,,1,1,1,1,1,0
1.0,2.0,5.0,4.0,,,,,,,3.0,2,1,1,1,,,,1
1.0,1.0,2.0,4.0,3.0,,,4.0,,67.0,1.0,1,1,1,1,,1,1,0
1.0,1.0,2.0,3.0,1.0,2.0,4.5,4.0,4.0,6.3,1.0,1,,1,1,1,1,0,0
1.0,1.0,3.0,3.0,2.0,2.0,,4.0,4.0,6.2,1.0,1,0,1,0,1,1,0,0
1.0,1.0,3.0,1.0,1.0,1.0,,3.0,5.0,58.0,1.0,1,1,1,0,0,1,1,0
2.0,1.0,1.0,3.0,1.0,2.0,,3.0,2.0,7.2,1.0,2,1,1,0,0,1,0,0
1.0,2.0,2.0,3.0,3.0,1.0,,,4.0,8.8,2.0,1,1,1,1,1,1,1,1
1.0,2.0,5.0,4.0,3.0,2.0,,1.0,5.0,50.0,3.0,1,0,1,1,1,1,1,1
1.0,1.0,4.0,3.0,4.0,,,,,,1.0,1,1,1,1,,,,0
2.0,1.0,5.0,4.0,1.0,,,4.0,,6.4,2.0,2,1,1,1,1,1,0,1
1.0,,,,,,,,,7.7,1.0,1,1,0,,,1,1,0
1.0,2.0,3.0,3.0,3.0,2.0,,3.0,5.0,7.0,1.0,1,0,1,1,1,1,0,0
2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,8.6,1.0,2,0,1,1,1,1,1,0
1.0,1.0,4.0,3.0,1.0,2.0,7.0,1.0,,7.5,2.0,1,0,1,0,1,1,0,1
2.0,1.0,3.0,1.0,2.0,,,1.0,,6.9,1.0,2,0,0,0,0,1,0,0
2.0,1.0,3.0,1.0,1.0,,,,2.0,54.0,1.0,2,0,1,0,1,1,1,0
2.0,1.0,3.0,3.0,2.0,2.0,,,4.0,7.0,3.0,1,0,1,1,1,1,0,1
1.0,1.0,5.0,3.0,,,,,5.0,65.0,3.0,1,0,1,,,1,1,1
1.0,2.0,5.0,4.0,4.0,,,4.0,5.0,6.1,2.0,1,0,1,1,1,1,0,1
1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,8.1,1.0,2,0,1,0,0,1,1,0
1.0,1.0,5.0,3.0,3.0,2.0,4.0,,4.0,5.9,2.0,1,,0,0,1,1,0,1
1.0,2.0,,3.0,3.0,,,1.0,,,1.0,1,1,1,0,,,,0
2.0,2.0,5.0,4.0,4.0,,,4.0,5.0,,2.0,1,,1,1,1,1,,1
1.0,1.0,4.0,2.0,4.0,2.0,6.5,1.0,5.0,7.2,1.0,1,0,1,1,1,1,0,0
1.0,1.0,5.0,4.0,3.0,2.0,,3.0,4.0,4.6,2.0,1,0,1,1,1,1,0,1
1.0,1.0,4.0,3.0,3.0,2.0,,3.0,4.0,,1.0,1,0,1,0,1,,,0
2.0,2.0,3.0,3.0,1.0,2.0,,,2.0,6.6,1.0,2,0,1,0,0,1,0,0
1.0,1.0,2.0,4.0,1.0,1.0,2.0,,4.0,13.0,3.0,1,1,1,1,1,1,1,1
2.0,1.0,1.0,4.0,1.0,1.0,,,5.0,7.1,2.0,1,0,0,1,0,1,0,1
2.0,2.0,5.0,4.0,2.0,,,4.0,,5.3,1.0,2,,1,1,1,1,0,0
1.0,1.0,4.0,4.0,4.0,,,4.0,5.0,70.0,1.0,1,,1,1,1,1,1,0
1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,65.0,3.0,1,0,1,0,0,1,1,1
1.0,1.0,,4.0,,,7.5,,,9.0,2.0,1,1,1,1,1,1,1,1
2.0,1.0,2.0,3.0,2.0,2.0,,3.0,5.0,61.0,1.0,2,0,1,0,0,1,1,0
1.0,1.0,2.0,3.0,1.0,2.0,,,,7.4,2.0,1,1,1,1,0,1,0,1
2.0,1.0,4.0,3.0,2.0,1.0,,4.0,,69.0,1.0,2,0,0,,0,1,1,0
2.0,1.0,1.0,,2.0,2.0,,,2.0,6.5,1.0,2,1,1,0,0,1,0,0
1.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,7.4,2.0,1,0,1,,1,1,0,1
1.0,1.0,3.0,3.0,3.0,2.0,,1.0,5.0,6.5,1.0,1,0,0,1,0,1,0,0
2.0,1.0,3.0,3.0,1.0,2.0,,1.0,,6.0,3.0,1,,1,1,0,1,0,1
2.0,1.0,3.0,3.0,2.0,1.0,,1.0,5.0,6.5,1.0,2,1,1,0,1,1,0,0
2.0,1.0,2.0,3.0,2.0,,5.4,,4.0,7.2,1.0,2,0,1,1,0,1,0,0
1.0,1.0,,3.0,,,,3.0,,60.0,1.0,2,0,0,,0,1,1,0
1.0,1.0,,3.0,1.0,1.0,6.5,1.0,5.0,6.7,1.0,1,1,1,0,0,1,0,0
1.0,1.0,3.0,3.0,2.0,2.0,3.5,3.0,4.0,6.5,2.0,1,0,1,1,0,1,0,1
1.0,1.0,5.0,4.0,1.0,2.0,,3.0,1.0,55.0,1.0,1,0,1,1,1,1,1,0
1.0,2.0,5.0,4.0,4.0,3.0,,4.0,4.0,6.6,1.0,1,,1,1,1,1,0,0
1.0,1.0,5.0,3.0,3.0,1.0,,,,7.0,2.0,1,0,1,1,1,1,0,1
1.0,,,4.0,4.0,,,,5.0,,3.0,1,,1,,,,,1
1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,,75.0,3.0,2,0,0,1,0,1,1,1
2.0,1.0,1.0,3.0,2.0,3.0,7.0,,,6.5,1.0,2,0,1,0,1,1,0,0
2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,6.8,1.0,2,0,0,0,0,1,0,0
2.0,1.0,2.0,4.0,3.0,2.0,7.5,,,7.2,1.0,2,0,1,1,0,1,0,0
1.0,,1.0,1.0,,,,,,67.0,1.0,2,1,1,,0,1,1,0
2.0,1.0,2.0,3.0,1.0,1.0,,4.0,1.0,6.5,2.0,1,1,1,1,1,1,0,1
1.0,2.0,2.0,3.0,2.0,2.0,,4.0,5.0,7.5,2.0,1,,1,1,1,1,0,1
1.0,,,,,,,,,6.4,1.0,1,0,1,,,1,0,0
2.0,1.0,3.0,1.0,1.0,2.0,,1.0,,6.8,1.0,2,1,1,0,0,1,0,0
1.0,1.0,3.0,3.0,1.0,2.0,,4.0,5.0,6.7,1.0,1,1,1,0,0,1,0,0
2.0,2.0,4.0,,3.0,1.0,,,,7.0,3.0,1,0,1,1,0,1,0,1
1.0,,,,,,,,,,1.0,1,,,,,,,0
1.0,1.0,3.0,2.0,2.0,,,3.0,,6.6,1.0,1,0,1,,0,1,0,0
2.0,1.0,1.0,1.0,,,,1.0,1.0,58.0,1.0,2,1,0,0,0,1,1,0
1.0,1.0,2.0,3.0,3.0,2.0,7.0,3.0,1.0,6.5,2.0,1,1,1,1,1,1,0,1
1.0,1.0,4.0,3.0,3.0,1.0,,1.0,5.0,6.9,2.0,1,0,1,0,0,1,0,1
1.0,1.0,,3.0,,2.0,,,4.0,62.0,3.0,2,,1,1,1,1,1,1
2.0,1.0,2.0,1.0,1.0,,,3.0,2.0,67.0,1.0,2,1,0,0,0,1,1,0
1.0,2.0,2.0,4.0,,,,,5.0,65.0,3.0,2,,1,1,1,1,1,1
2.0,2.0,4.0,3.0,3.0,3.0,,4.0,4.0,,3.0,1,0,1,1,1,1,,1
1.0,1.0,4.0,4.0,3.0,2.0,,3.0,5.0,6.8,2.0,1,0,1,1,1,1,0,1
1.0,1.0,3.0,3.0,3.0,3.0,,4.0,4.0,6.0,1.0,1,0,1,1,1,1,0,0
1.0,,,,,,,4.0,1.0,62.0,3.0,2,0,0,,,1,1,1
